Word,WordCount
think,67180
would,53123
people,48172
know,43486
feel,36959
say,36632
go,35435
really,35293
make,34534
thing,34001
time,33064
get,28734
good,27713
want,25774
type,25496
see,25178
love,23242
much,23107
friend,21182
find,20725
way,19883
try,19609
take,19026
also,18330
could,17522
lot,17396
even,16921
always,16809
work,16507
use,15901
look,15884
seem,15474
never,15250
come,15154
may,14992
life,14504
thank,13921
talk,13201
actually,13199
person,13011
read,12769
mean,12535
give,12449
tell,12421
intj,12356
pretty,12301
year,12149
first,12092
well,11982
sure,11698
need,11482
still,11008
post,10813
right,10489
many,10377
thread,9947
start,9933
sometimes,9801
probably,9654
maybe,9569
help,9534
understand,9256
day,9199
question,8955
bad,8922
relationship,8799
ask,8758
point,8728
guy,8716
little,8513
sound,8399
usually,8363
long,8195
different,8068
kind,7900
agree,7892
ever,7883
hard,7796
live,7513
let,7483
idea,7450
mind,7441
keep,7386
experience,7353
quite,7286
great,7220
problem,7120
lol,7112
happen,7054
bit,6981
believe,6935
world,6879
write,6878
guess,6860
definitely,6783
interesting,6765
test,6693
reason,6684
put,6633
often,6583
back,6546
care,6404
hate,6359
part,6328
learn,6212
word,6197
old,6146
change,6130
call,6114
end,5978
tend,5918
personality,5909
play,5904
last,5895
new,5837
else,5800
answer,5786
sense,5631
enough,5628
watch,5604
happy,5571
true,5560
close,5532
hear,5512
relate,5468
become,5457
least,5447
girl,5435
man,5405
show,5275
stuff,5272
meet,5256
enfp,5178
enjoy,5023
especially,4986
consider,4942
place,4932
wrong,4923
remember,4839
big,4838
nice,4828
fact,4822
music,4800
however,4799
leave,4765
situation,4755
far,4702
rather,4700
real,4593
laugh,4556
exactly,4491
almost,4475
woman,4461
function,4394
entp,4378
book,4377
stop,4328
job,4315
wonder,4296
date,4201
emotion,4172
already,4162
head,4037
listen,4016
easy,4015
school,3963
able,3928
less,3916
hope,3874
fun,3867
whole,3841
alone,3828
speak,3774
completely,3758
realize,3757
share,3756
feeling,3700
entj,3654
family,3636
today,3627
notice,3618
movie,3580
turn,3574
example,3542
sort,3536
depend,3520
issue,3519
move,3516
certain,3507
name,3502
strong,3490
cool,3486
game,3475
spend,3449
kid,3417
high,3403
conversation,3392
course,3388
opinion,3371
figure,3367
